                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0773,                 1.2454,                 1.1781,                0.96687,                 0.9614,                0.97968,                0.77337,                0.80339,                0.42608,                 1.0743,               0.067243,             0.00033088,             0.00033088
                      2,                0.79915,                0.45112,                 1.0174,                0.98196,                0.97641,                0.99088,                0.80559,                0.70774,                0.32021,                 1.0167,               0.034236,             0.00065764,             0.00065764
                      3,                0.73303,                0.38368,                0.97602,                0.97962,                0.97909,                0.99188,                0.81967,                0.67455,                0.30147,                0.98508,              0.0012229,              0.0009778,              0.0009778
                      4,                0.70257,                0.34275,                0.95445,                0.98008,                0.98663,                0.99229,                0.84371,                0.65408,                0.26702,                0.95121,              0.0009703,              0.0009703,              0.0009703
                      5,                0.67186,                 0.3279,                0.95443,                0.98032,                0.98815,                0.99281,                0.85526,                0.64486,                0.26664,                0.96919,              0.0009604,              0.0009604,              0.0009604
                      6,                0.65122,                0.30835,                0.92654,                0.98517,                0.98919,                0.99276,                0.86211,                0.62892,                0.25706,                0.92826,              0.0009505,              0.0009505,              0.0009505
                      7,                0.63484,                0.30254,                0.91858,                 0.9819,                0.98571,                0.99329,                0.86296,                0.61075,                0.25244,                0.92314,              0.0009406,              0.0009406,              0.0009406
                      8,                0.61343,                0.29126,                0.91146,                0.98874,                0.98784,                0.99324,                0.86741,                0.61677,                0.25109,                0.92416,              0.0009307,              0.0009307,              0.0009307
                      9,                0.60684,                0.28724,                0.91788,                0.98784,                0.98779,                0.99308,                0.87362,                0.60964,                 0.2498,                0.93434,              0.0009208,              0.0009208,              0.0009208
                     10,                0.59619,                0.27969,                0.90407,                 0.9844,                0.99119,                0.99301,                0.87039,                0.62143,                0.24434,                 0.9106,              0.0009109,              0.0009109,              0.0009109
                     11,                0.59642,                0.28049,                0.89389,                0.98563,                0.99179,                0.99365,                0.87876,                0.59273,                0.23529,                0.89613,               0.000901,               0.000901,               0.000901
                     12,                0.58531,                0.27396,                0.89726,                0.98539,                0.99088,                0.99329,                0.87543,                0.59675,                0.24136,                0.92109,              0.0008911,              0.0008911,              0.0008911
                     13,                0.57661,                0.26774,                0.90042,                0.98815,                0.98876,                0.99314,                 0.8818,                0.58466,                0.23283,                0.91761,              0.0008812,              0.0008812,              0.0008812
                     14,                0.57521,                0.26753,                0.89464,                0.98462,                0.99453,                0.99368,                  0.883,                0.58143,                 0.2312,                0.90543,              0.0008713,              0.0008713,              0.0008713
                     15,                0.57042,                0.26263,                0.88493,                0.98848,                0.99142,                0.99351,                0.88174,                0.59389,                0.23179,                0.88555,              0.0008614,              0.0008614,              0.0008614
                     16,                0.56265,                0.26373,                0.87062,                0.98706,                0.99271,                 0.9935,                0.88728,                 0.5765,                0.23017,                0.87935,              0.0008515,              0.0008515,              0.0008515
                     17,                0.55876,                0.26339,                0.87574,                0.98629,                0.99271,                0.99372,                0.88485,                0.57311,                0.22773,                0.88482,              0.0008416,              0.0008416,              0.0008416
                     18,                0.55556,                0.25601,                0.88138,                0.98601,                 0.9921,                0.99367,                0.88624,                0.57344,                0.22874,                0.89673,              0.0008317,              0.0008317,              0.0008317
                     19,                0.54979,                0.25326,                0.88507,                 0.9873,                0.99221,                0.99365,                0.88463,                0.57389,                0.22971,                0.90051,              0.0008218,              0.0008218,              0.0008218
                     20,                0.54309,                0.25271,                0.88237,                 0.9891,                0.99327,                0.99383,                0.89018,                0.57264,                0.22449,                0.90448,              0.0008119,              0.0008119,              0.0008119
                     21,                0.54074,                0.25086,                0.88619,                0.99012,                 0.9921,                0.99388,                0.88783,                0.57918,                0.23199,                0.92394,               0.000802,               0.000802,               0.000802
                     22,                0.52923,                0.24822,                0.88423,                0.98642,                0.99328,                 0.9934,                0.89031,                0.56522,                0.22238,                0.89538,              0.0007921,              0.0007921,              0.0007921
                     23,                0.53395,                0.24469,                0.87613,                0.98878,                0.99362,                0.99305,                0.88949,                0.57196,                0.22391,                0.90444,              0.0007822,              0.0007822,              0.0007822
                     24,                0.53096,                0.24438,                0.87749,                0.98788,                0.99362,                0.99378,                0.88598,                0.57903,                0.22629,                0.91055,              0.0007723,              0.0007723,              0.0007723
                     25,                0.52004,                0.24104,                0.86958,                 0.9899,                0.99088,                0.99397,                0.88607,                0.57909,                0.22235,                0.91099,              0.0007624,              0.0007624,              0.0007624
                     26,                0.52782,                0.23984,                 0.8761,                0.98825,                 0.9921,                  0.994,                0.89214,                0.57084,                0.22212,                0.90166,              0.0007525,              0.0007525,              0.0007525
                     27,                0.52596,                0.24017,                 0.8684,                0.99239,                  0.991,                0.99361,                0.88991,                 0.5673,                0.21949,                0.87975,              0.0007426,              0.0007426,              0.0007426
                     28,                0.52241,                0.24057,                0.86197,                0.98909,                0.99219,                 0.9934,                0.89105,                 0.5625,                0.21935,                0.87709,              0.0007327,              0.0007327,              0.0007327
                     29,                0.51495,                0.23552,                0.86833,                0.98998,                0.99074,                0.99377,                0.89142,                0.56444,                0.22033,                0.88822,              0.0007228,              0.0007228,              0.0007228
                     30,                0.50121,                0.23163,                0.86315,                0.99028,                0.99145,                0.99395,                0.89308,                0.56616,                0.21988,                 0.8864,              0.0007129,              0.0007129,              0.0007129
                     31,                0.50884,                0.23281,                0.86584,                0.98821,                0.99397,                0.99359,                0.89217,                0.56455,                0.21899,                0.88206,               0.000703,               0.000703,               0.000703
