                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1038,                 1.4799,                 1.1738,                0.96878,                0.95593,                0.98014,                 0.7701,                0.80518,                0.46401,                 1.0711,               0.067243,             0.00033088,             0.00033088
                      2,                 0.7993,                0.45907,                 1.0223,                0.97964,                0.96991,                0.99105,                0.81143,                0.70589,                0.32549,                 1.0214,               0.034236,             0.00065764,             0.00065764
                      3,                0.72781,                0.38633,                0.97696,                 0.9785,                0.98203,                0.99209,                0.83257,                0.66695,                0.29974,                0.98429,              0.0012229,              0.0009778,              0.0009778
                      4,                0.69559,                0.34358,                0.95979,                0.97985,                0.98116,                0.99213,                0.84334,                0.65717,                0.28544,                 0.9675,              0.0009703,              0.0009703,              0.0009703
                      5,                0.66529,                0.32439,                0.95529,                0.98144,                0.98632,                0.99266,                0.85398,                0.63958,                0.26989,                0.98322,              0.0009604,              0.0009604,              0.0009604
                      6,                 0.6376,                0.30445,                0.93955,                0.98482,                0.98967,                0.99278,                0.86426,                 0.6182,                0.25542,                0.96839,              0.0009505,              0.0009505,              0.0009505
                      7,                 0.6233,                0.29683,                0.93518,                0.98509,                0.99149,                0.99295,                0.86683,                 0.6155,                0.25102,                0.95522,              0.0009406,              0.0009406,              0.0009406
                      8,                0.60419,                0.28872,                0.91979,                0.98845,                0.98997,                0.99309,                 0.8626,                0.61364,                0.24847,                0.95279,              0.0009307,              0.0009307,              0.0009307
                      9,                0.59397,                0.27906,                0.92234,                0.98731,                0.98845,                0.99312,                0.87011,                 0.6106,                0.25221,                0.94948,              0.0009208,              0.0009208,              0.0009208
                     10,                0.58365,                0.27446,                0.91165,                0.98568,                0.98936,                0.99264,                0.87252,                0.60707,                0.24412,                0.92769,              0.0009109,              0.0009109,              0.0009109
                     11,                0.58174,                0.27375,                0.90719,                0.98658,                0.99088,                0.99308,                0.87774,                0.59045,                0.23683,                0.93643,               0.000901,               0.000901,               0.000901
                     12,                0.57238,                0.26479,                0.90816,                0.98761,                0.99336,                0.99335,                0.87338,                0.60924,                0.24045,                0.94315,              0.0008911,              0.0008911,              0.0008911
                     13,                0.56288,                0.26435,                0.90408,                0.98612,                0.99346,                0.99272,                0.88651,                0.57517,                0.23497,                0.92524,              0.0008812,              0.0008812,              0.0008812
                     14,                0.56347,                0.26474,                0.89204,                0.98568,                0.99271,                0.99297,                0.88058,                0.57557,                0.23217,                0.89872,              0.0008713,              0.0008713,              0.0008713
                     15,                0.55438,                0.25625,                0.88884,                 0.9849,                0.99088,                0.99347,                0.88088,                0.59559,                0.23946,                0.93581,              0.0008614,              0.0008614,              0.0008614
                     16,                0.54849,                0.25999,                0.89923,                0.98936,                0.98883,                0.99315,                0.87921,                0.57815,                0.23291,                 0.9324,              0.0008515,              0.0008515,              0.0008515
                     17,                0.54371,                0.25751,                0.89183,                0.98791,                0.99328,                0.99339,                0.88688,                0.56572,                0.22751,                0.92127,              0.0008416,              0.0008416,              0.0008416
                     18,                0.53669,                 0.2488,                 0.8895,                0.98725,                0.99331,                0.99294,                0.88443,                0.57319,                0.22479,                0.92906,              0.0008317,              0.0008317,              0.0008317
                     19,                0.53258,                0.24595,                0.89111,                 0.9885,                 0.9931,                0.99333,                0.88688,                0.56814,                0.22367,                 0.9138,              0.0008218,              0.0008218,              0.0008218
                     20,                0.52776,                  0.244,                0.87918,                0.99121,                0.99347,                0.99336,                0.88167,                0.58022,                0.22136,                0.91361,              0.0008119,              0.0008119,              0.0008119
                     21,                0.52376,                0.23911,                0.87926,                0.98882,                0.99455,                0.99381,                0.88885,                0.57062,                0.22047,                0.91079,               0.000802,               0.000802,               0.000802
                     22,                0.51854,                0.23994,                 0.8792,                0.98731,                0.99696,                0.99308,                0.88559,                 0.5741,                0.22029,                0.91978,              0.0007921,              0.0007921,              0.0007921
                     23,                0.52202,                0.23832,                0.87867,                0.98912,                0.99433,                0.99337,                 0.8869,                0.57431,                0.22016,                0.90208,              0.0007822,              0.0007822,              0.0007822
                     24,                0.51721,                 0.2366,                0.86874,                0.98829,                0.99331,                 0.9932,                 0.8855,                0.57894,                0.22476,                0.90353,              0.0007723,              0.0007723,              0.0007723
