               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.4357,              2.1889,              1.5022,             0.95559,             0.94834,             0.97012,             0.75079,                   0,                   0,                   0,            0.067243,          0.00033088,          0.00033088
                   1,              1.0574,             0.65665,                1.26,             0.97571,             0.97173,             0.98226,             0.80882,                   0,                   0,                   0,            0.034236,          0.00065764,          0.00065764
                   2,             0.98257,             0.52772,              1.2371,             0.97459,             0.97923,             0.99061,             0.81666,                   0,                   0,                   0,           0.0012229,           0.0009778,           0.0009778
                   3,             0.94379,             0.45992,               1.195,             0.98086,             0.98146,             0.99008,             0.83542,                   0,                   0,                   0,           0.0009703,           0.0009703,           0.0009703
                   4,             0.92625,             0.43485,              1.1848,             0.98078,             0.97508,             0.99006,             0.82675,                   0,                   0,                   0,           0.0009703,           0.0009703,           0.0009703
                   5,             0.90697,             0.41779,              1.1751,             0.98655,             0.98176,             0.99189,             0.85225,                   0,                   0,                   0,           0.0009604,           0.0009604,           0.0009604
                   6,             0.87178,             0.40194,               1.165,             0.98359,             0.98298,             0.99237,              0.8482,                   0,                   0,                   0,           0.0009505,           0.0009505,           0.0009505
                   7,              0.8656,             0.39076,              1.1545,             0.98289,             0.98815,             0.99258,             0.85386,                   0,                   0,                   0,           0.0009406,           0.0009406,           0.0009406
                   8,             0.85387,             0.38935,              1.1604,             0.98432,             0.98298,             0.99202,             0.85894,                   0,                   0,                   0,           0.0009307,           0.0009307,           0.0009307
                   9,             0.81741,             0.37248,               1.149,             0.98455,             0.98541,             0.99284,             0.86738,                   0,                   0,                   0,           0.0009208,           0.0009208,           0.0009208
                  10,             0.81216,             0.36695,              1.1459,             0.98575,             0.98571,             0.99293,             0.86495,                   0,                   0,                   0,           0.0009109,           0.0009109,           0.0009109
                  11,             0.80783,             0.36487,              1.1407,             0.98666,             0.98902,             0.99281,             0.86932,                   0,                   0,                   0,            0.000901,            0.000901,            0.000901
                  12,             0.81667,             0.36355,              1.1304,             0.98489,             0.99031,              0.9925,             0.86989,                   0,                   0,                   0,           0.0008911,           0.0008911,           0.0008911
                  13,             0.79319,             0.35882,              1.1084,             0.98425,             0.98751,             0.99267,             0.86866,                   0,                   0,                   0,           0.0008812,           0.0008812,           0.0008812
                  14,             0.79014,             0.35459,              1.0898,             0.98232,             0.98997,             0.99263,             0.87657,                   0,                   0,                   0,           0.0008713,           0.0008713,           0.0008713
                  15,             0.76961,             0.35094,              1.0851,             0.98989,             0.98389,               0.993,             0.87436,                   0,                   0,                   0,           0.0008614,           0.0008614,           0.0008614
                  16,             0.76775,             0.34993,              1.0791,             0.98459,             0.99044,             0.99293,             0.86858,                   0,                   0,                   0,           0.0008515,           0.0008515,           0.0008515
                  17,             0.76976,             0.34309,              1.0902,              0.9841,             0.99149,             0.99349,             0.87687,                   0,                   0,                   0,           0.0008416,           0.0008416,           0.0008416
                  18,             0.76239,             0.33756,              1.0898,             0.98369,             0.98963,             0.99278,             0.87675,                   0,                   0,                   0,           0.0008317,           0.0008317,           0.0008317
                  19,              0.7524,             0.33745,              1.0852,              0.9887,             0.98359,             0.99223,             0.87846,                   0,                   0,                   0,           0.0008218,           0.0008218,           0.0008218
                  20,             0.75036,             0.33192,              1.0751,             0.98409,             0.99179,             0.99265,             0.87776,                   0,                   0,                   0,           0.0008119,           0.0008119,           0.0008119
                  21,              0.7369,             0.32722,              1.0756,             0.98372,             0.99186,             0.99308,             0.87675,                   0,                   0,                   0,            0.000802,            0.000802,            0.000802
                  22,             0.73535,             0.32477,              1.0745,             0.98756,             0.98914,             0.99315,             0.88062,                   0,                   0,                   0,           0.0007921,           0.0007921,           0.0007921
                  23,             0.72919,             0.32262,              1.0739,             0.98431,             0.99152,             0.99279,             0.88009,                   0,                   0,                   0,           0.0007822,           0.0007822,           0.0007822
                  24,              0.7158,             0.31593,               1.073,             0.98803,             0.98784,             0.99311,             0.88097,                   0,                   0,                   0,           0.0007723,           0.0007723,           0.0007723
                  25,             0.73234,             0.32361,              1.0711,             0.98836,             0.98784,              0.9933,             0.88135,                   0,                   0,                   0,           0.0007624,           0.0007624,           0.0007624
                  26,             0.70569,             0.31586,              1.0639,             0.98607,             0.98991,             0.99349,             0.88621,                   0,                   0,                   0,           0.0007525,           0.0007525,           0.0007525
                  27,             0.70786,             0.31425,              1.0616,             0.98825,             0.98936,             0.99336,             0.88117,                   0,                   0,                   0,           0.0007426,           0.0007426,           0.0007426
                  28,             0.69846,             0.30805,              1.0574,             0.98906,             0.98964,             0.99359,             0.88543,                   0,                   0,                   0,           0.0007327,           0.0007327,           0.0007327
                  29,             0.70865,             0.31367,               1.064,             0.98937,             0.98663,             0.99352,              0.8872,                   0,                   0,                   0,           0.0007228,           0.0007228,           0.0007228
                  30,             0.71857,             0.31597,              1.0711,             0.98638,             0.99021,             0.99278,             0.88595,                   0,                   0,                   0,           0.0007129,           0.0007129,           0.0007129
                  31,             0.70036,             0.30827,              1.0733,             0.98581,             0.99212,             0.99333,             0.88736,                   0,                   0,                   0,            0.000703,            0.000703,            0.000703
                  32,              0.6963,             0.30799,               1.064,             0.98789,             0.99203,             0.99338,             0.88613,                   0,                   0,                   0,           0.0006931,           0.0006931,           0.0006931
                  33,             0.69628,             0.30767,              1.0635,              0.9885,             0.98875,              0.9934,              0.8828,                   0,                   0,                   0,           0.0006832,           0.0006832,           0.0006832
                  34,             0.68555,             0.30507,              1.0595,             0.98722,             0.99149,             0.99227,             0.88622,                   0,                   0,                   0,           0.0006733,           0.0006733,           0.0006733
                  35,             0.69895,             0.30921,              1.0639,             0.98817,             0.99005,             0.99316,             0.89099,                   0,                   0,                   0,           0.0006634,           0.0006634,           0.0006634
                  36,             0.67461,             0.29656,                1.06,             0.98763,             0.99149,             0.99264,             0.88896,                   0,                   0,                   0,           0.0006535,           0.0006535,           0.0006535
                  37,             0.68587,             0.30368,              1.0591,             0.98596,             0.99271,             0.99376,              0.8895,                   0,                   0,                   0,           0.0006436,           0.0006436,           0.0006436
                  38,             0.67377,             0.30249,              1.0576,             0.98817,             0.99026,             0.99298,             0.88845,                   0,                   0,                   0,           0.0006337,           0.0006337,           0.0006337
                  39,             0.66802,             0.29443,              1.0671,             0.99076,             0.98754,             0.99299,             0.88906,                   0,                   0,                   0,           0.0006238,           0.0006238,           0.0006238
                  40,             0.67942,             0.29947,              1.0636,             0.98935,             0.98828,              0.9932,              0.8872,                   0,                   0,                   0,           0.0006139,           0.0006139,           0.0006139
                  41,             0.67401,              0.3014,              1.0611,              0.9867,             0.99192,             0.99331,             0.88884,                   0,                   0,                   0,            0.000604,            0.000604,            0.000604
                  42,             0.67313,              0.2975,              1.0622,              0.9893,             0.98875,             0.99312,             0.88668,                   0,                   0,                   0,           0.0005941,           0.0005941,           0.0005941
                  43,             0.66787,             0.29569,              1.0569,             0.98878,             0.99118,             0.99283,             0.88731,                   0,                   0,                   0,           0.0005842,           0.0005842,           0.0005842
                  44,             0.65132,             0.28952,              1.0598,             0.98732,              0.9921,              0.9936,              0.8887,                   0,                   0,                   0,           0.0005743,           0.0005743,           0.0005743
                  45,             0.64135,             0.28474,              1.0578,             0.99208,             0.98939,             0.99367,             0.88936,                   0,                   0,                   0,           0.0005644,           0.0005644,           0.0005644
                  46,             0.65182,             0.28864,              1.0489,             0.98877,             0.98983,             0.99306,             0.88911,                   0,                   0,                   0,           0.0005545,           0.0005545,           0.0005545
                  47,             0.64813,             0.28285,              1.0505,             0.98888,             0.99088,             0.99328,             0.89192,                   0,                   0,                   0,           0.0005446,           0.0005446,           0.0005446
                  48,             0.64651,             0.28582,              1.0451,             0.98701,             0.99331,             0.99319,             0.89208,                   0,                   0,                   0,           0.0005347,           0.0005347,           0.0005347
                  49,              0.6336,             0.27832,              1.0451,             0.99057,             0.98959,             0.99317,             0.88917,                   0,                   0,                   0,           0.0005248,           0.0005248,           0.0005248
                  50,             0.63376,              0.2773,              1.0523,             0.98728,             0.99149,             0.99238,             0.88772,                   0,                   0,                   0,           0.0005149,           0.0005149,           0.0005149
                  51,             0.63181,             0.28043,              1.0504,             0.98895,             0.98967,             0.99299,             0.88935,                   0,                   0,                   0,            0.000505,            0.000505,            0.000505
                  52,             0.63402,             0.27996,              1.0441,             0.98908,             0.99129,             0.99299,             0.88979,                   0,                   0,                   0,           0.0004951,           0.0004951,           0.0004951
                  53,             0.61776,             0.27207,              1.0419,             0.99056,             0.98918,             0.99313,             0.89003,                   0,                   0,                   0,           0.0004852,           0.0004852,           0.0004852
                  54,             0.62568,             0.27532,              1.0471,              0.9888,              0.9926,             0.99297,             0.89235,                   0,                   0,                   0,           0.0004753,           0.0004753,           0.0004753
                  55,             0.61731,              0.2743,              1.0433,              0.9883,             0.99362,             0.99339,             0.89248,                   0,                   0,                   0,           0.0004654,           0.0004654,           0.0004654
                  56,             0.61928,             0.27274,              1.0436,             0.98968,             0.99115,              0.9934,              0.8905,                   0,                   0,                   0,           0.0004555,           0.0004555,           0.0004555
                  57,             0.60795,             0.26827,              1.0394,             0.98729,             0.99149,             0.99323,             0.89182,                   0,                   0,                   0,           0.0004456,           0.0004456,           0.0004456
                  58,             0.62085,             0.27171,              1.0438,             0.98877,             0.99034,             0.99325,              0.8916,                   0,                   0,                   0,           0.0004357,           0.0004357,           0.0004357
                  59,             0.61496,             0.27348,              1.0373,             0.98583,             0.99376,             0.99314,             0.88935,                   0,                   0,                   0,           0.0004258,           0.0004258,           0.0004258
                  60,             0.60986,             0.26926,              1.0399,             0.98908,             0.99118,             0.99326,             0.89129,                   0,                   0,                   0,           0.0004159,           0.0004159,           0.0004159
                  61,             0.60855,             0.26913,              1.0375,             0.98998,             0.99058,             0.99326,             0.89342,                   0,                   0,                   0,            0.000406,            0.000406,            0.000406
                  62,             0.60951,             0.26918,              1.0357,             0.99148,             0.99006,             0.99349,             0.89154,                   0,                   0,                   0,           0.0003961,           0.0003961,           0.0003961
                  63,             0.60355,             0.26624,              1.0381,              0.9894,             0.99334,             0.99325,             0.89193,                   0,                   0,                   0,           0.0003862,           0.0003862,           0.0003862
                  64,             0.60125,             0.26488,              1.0361,             0.99028,             0.99119,             0.99363,             0.89391,                   0,                   0,                   0,           0.0003763,           0.0003763,           0.0003763
                  65,             0.58886,             0.26076,              1.0352,               0.993,             0.99104,             0.99328,             0.89338,                   0,                   0,                   0,           0.0003664,           0.0003664,           0.0003664
                  66,             0.59031,             0.26305,               1.035,             0.98896,             0.99331,             0.99344,             0.89321,                   0,                   0,                   0,           0.0003565,           0.0003565,           0.0003565
                  67,             0.58301,              0.2552,              1.0319,             0.98976,              0.9921,             0.99349,             0.89484,                   0,                   0,                   0,           0.0003466,           0.0003466,           0.0003466
                  68,             0.58896,             0.25886,              1.0352,              0.9885,             0.99242,              0.9935,             0.89436,                   0,                   0,                   0,           0.0003367,           0.0003367,           0.0003367
                  69,             0.58618,             0.25898,               1.029,             0.98879,             0.99301,             0.99354,             0.89439,                   0,                   0,                   0,           0.0003268,           0.0003268,           0.0003268
                  70,             0.57691,             0.25599,              1.0323,             0.98991,             0.99301,             0.99337,             0.89296,                   0,                   0,                   0,           0.0003169,           0.0003169,           0.0003169
                  71,             0.58149,             0.25631,              1.0316,             0.98877,             0.99179,             0.99328,             0.89376,                   0,                   0,                   0,            0.000307,            0.000307,            0.000307
                  72,             0.58143,             0.25814,              1.0301,                0.99,             0.99303,             0.99339,             0.89319,                   0,                   0,                   0,           0.0002971,           0.0002971,           0.0002971
                  73,             0.57697,             0.25501,              1.0336,             0.98767,             0.99301,             0.99322,             0.89533,                   0,                   0,                   0,           0.0002872,           0.0002872,           0.0002872
                  74,             0.57763,               0.254,              1.0342,             0.99088,             0.99032,             0.99327,             0.89422,                   0,                   0,                   0,           0.0002773,           0.0002773,           0.0002773
                  75,             0.57161,             0.25194,                1.03,             0.98937,              0.9921,             0.99351,             0.89274,                   0,                   0,                   0,           0.0002674,           0.0002674,           0.0002674
                  76,             0.56164,             0.24803,              1.0268,             0.98848,             0.99071,             0.99353,             0.89417,                   0,                   0,                   0,           0.0002575,           0.0002575,           0.0002575
                  77,             0.56765,             0.25174,              1.0259,              0.9885,             0.99362,              0.9933,             0.89491,                   0,                   0,                   0,           0.0002476,           0.0002476,           0.0002476
                  78,             0.56555,             0.25042,              1.0291,             0.98821,             0.99392,             0.99343,             0.89576,                   0,                   0,                   0,           0.0002377,           0.0002377,           0.0002377
                  79,             0.55631,             0.24481,               1.028,              0.9885,             0.99289,             0.99341,             0.89443,                   0,                   0,                   0,           0.0002278,           0.0002278,           0.0002278
                  80,              0.5605,             0.24612,              1.0248,             0.99116,             0.98867,              0.9935,              0.8965,                   0,                   0,                   0,           0.0002179,           0.0002179,           0.0002179
                  81,             0.56082,             0.25044,              1.0276,             0.98809,             0.99301,             0.99344,             0.89559,                   0,                   0,                   0,            0.000208,            0.000208,            0.000208
                  82,             0.56314,             0.24746,              1.0281,              0.9891,              0.9924,             0.99343,              0.8944,                   0,                   0,                   0,           0.0001981,           0.0001981,           0.0001981
                  83,             0.55442,             0.24503,              1.0209,             0.98969,             0.99241,             0.99351,             0.89561,                   0,                   0,                   0,           0.0001882,           0.0001882,           0.0001882
                  84,              0.5467,             0.24126,              1.0264,                0.99,              0.9921,              0.9934,              0.8953,                   0,                   0,                   0,           0.0001783,           0.0001783,           0.0001783
                  85,             0.55403,             0.24609,              1.0258,             0.98998,             0.99143,             0.99339,             0.89386,                   0,                   0,                   0,           0.0001684,           0.0001684,           0.0001684
                  86,             0.55579,             0.24676,              1.0251,              0.9889,             0.99179,             0.99339,             0.89561,                   0,                   0,                   0,           0.0001585,           0.0001585,           0.0001585
                  87,             0.55286,             0.24365,              1.0262,             0.98761,             0.99332,             0.99351,             0.89633,                   0,                   0,                   0,           0.0001486,           0.0001486,           0.0001486
                  88,              0.5549,             0.24385,              1.0198,             0.98969,             0.99211,             0.99339,             0.89402,                   0,                   0,                   0,           0.0001387,           0.0001387,           0.0001387
                  89,             0.55345,             0.24481,               1.019,             0.98942,             0.99179,             0.99331,             0.89532,                   0,                   0,                   0,           0.0001288,           0.0001288,           0.0001288
                  90,             0.54228,             0.23936,               1.024,             0.99005,             0.99088,             0.99326,             0.89601,                   0,                   0,                   0,           0.0001189,           0.0001189,           0.0001189
                  91,             0.53943,             0.23794,              1.0209,             0.98885,              0.9924,             0.99314,             0.89536,                   0,                   0,                   0,            0.000109,            0.000109,            0.000109
                  92,             0.54935,             0.24248,              1.0183,             0.98804,             0.99301,              0.9931,             0.89421,                   0,                   0,                   0,            9.91e-05,            9.91e-05,            9.91e-05
                  93,             0.54422,              0.2414,              1.0189,             0.98761,             0.99374,             0.99299,             0.89374,                   0,                   0,                   0,            8.92e-05,            8.92e-05,            8.92e-05
                  94,             0.54082,             0.23739,              1.0173,             0.98879,             0.99222,             0.99311,             0.89408,                   0,                   0,                   0,            7.93e-05,            7.93e-05,            7.93e-05
                  95,             0.52986,             0.23338,              1.0135,             0.98702,             0.99401,             0.99318,             0.89403,                   0,                   0,                   0,            6.94e-05,            6.94e-05,            6.94e-05
                  96,             0.53443,             0.23633,              1.0148,             0.98945,              0.9921,             0.99305,             0.89456,                   0,                   0,                   0,            5.95e-05,            5.95e-05,            5.95e-05
                  97,             0.52543,             0.23125,              1.0126,             0.98881,             0.99359,             0.99306,              0.8956,                   0,                   0,                   0,            4.96e-05,            4.96e-05,            4.96e-05
                  98,             0.52336,             0.23273,              1.0117,             0.98852,             0.99421,             0.99305,             0.89439,                   0,                   0,                   0,            3.97e-05,            3.97e-05,            3.97e-05
                  99,             0.52626,             0.23164,              1.0176,             0.98821,             0.99372,             0.99299,             0.89534,                   0,                   0,                   0,            2.98e-05,            2.98e-05,            2.98e-05
