               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.86821,             0.43674,              1.1303,             0.98742,             0.97817,             0.99287,             0.86409,                   0,                   0,                   0,            0.067243,          0.00033088,          0.00033088
                   1,             0.85931,             0.42865,              1.1248,             0.99172,             0.98277,             0.99306,             0.86727,                   0,                   0,                   0,            0.034216,          0.00063791,          0.00063791
                   2,             0.89308,             0.44313,              1.1417,             0.98536,             0.98184,             0.99265,             0.84375,                   0,                   0,                   0,           0.0011636,          0.00091854,          0.00091854
                   3,             0.90967,             0.45277,              1.1424,              0.9915,             0.97933,             0.99282,             0.85133,                   0,                   0,                   0,           0.0008812,           0.0008812,           0.0008812
                   4,             0.89665,             0.45094,              1.1448,             0.98476,             0.98227,             0.99244,             0.84825,                   0,                   0,                   0,           0.0008812,           0.0008812,           0.0008812
                   5,             0.89482,             0.45501,              1.1473,             0.98902,             0.98024,             0.99293,             0.85462,                   0,                   0,                   0,           0.0008416,           0.0008416,           0.0008416
                   6,             0.88889,             0.44867,              1.1438,             0.98799,             0.97964,              0.9927,             0.85393,                   0,                   0,                   0,            0.000802,            0.000802,            0.000802
                   7,             0.91628,             0.45351,              1.1525,             0.98959,             0.98283,             0.99312,             0.85524,                   0,                   0,                   0,           0.0007624,           0.0007624,           0.0007624
                   8,             0.89281,             0.43649,              1.1427,             0.98557,             0.97576,             0.99165,             0.85467,                   0,                   0,                   0,           0.0007228,           0.0007228,           0.0007228
                   9,             0.86162,             0.42283,              1.1344,             0.98712,             0.97821,             0.99293,             0.85024,                   0,                   0,                   0,           0.0006832,           0.0006832,           0.0006832
                  10,             0.87372,              0.4325,              1.1325,             0.98752,             0.98602,             0.99276,             0.86135,                   0,                   0,                   0,           0.0006436,           0.0006436,           0.0006436
                  11,             0.87533,             0.43035,              1.1387,             0.98877,             0.98359,             0.99305,             0.86269,                   0,                   0,                   0,            0.000604,            0.000604,            0.000604
                  12,             0.87818,              0.4324,              1.1367,             0.98897,             0.98111,             0.99259,             0.86922,                   0,                   0,                   0,           0.0005644,           0.0005644,           0.0005644
                  13,             0.85743,             0.42096,              1.1279,             0.98661,             0.98509,             0.99296,             0.87895,                   0,                   0,                   0,           0.0005248,           0.0005248,           0.0005248
                  14,             0.84522,             0.41579,              1.1282,             0.98731,             0.97933,             0.99297,              0.8627,                   0,                   0,                   0,           0.0004852,           0.0004852,           0.0004852
                  15,             0.85946,             0.41543,              1.1388,             0.98355,             0.98754,             0.99296,             0.86689,                   0,                   0,                   0,           0.0004456,           0.0004456,           0.0004456
                  16,             0.84131,             0.40965,              1.1264,             0.98714,             0.98723,             0.99314,             0.87573,                   0,                   0,                   0,            0.000406,            0.000406,            0.000406
                  17,              0.8195,             0.39403,              1.1139,             0.98617,             0.98754,             0.99319,             0.88194,                   0,                   0,                   0,           0.0003664,           0.0003664,           0.0003664
                  18,             0.80851,             0.38715,              1.1215,             0.98932,             0.98602,             0.99312,             0.88537,                   0,                   0,                   0,           0.0003268,           0.0003268,           0.0003268
                  19,              0.8074,             0.38658,              1.1151,             0.98758,             0.98602,             0.99292,             0.88107,                   0,                   0,                   0,           0.0002872,           0.0002872,           0.0002872
                  20,             0.81441,              0.3883,              1.1191,             0.98634,             0.98783,             0.99337,              0.8815,                   0,                   0,                   0,           0.0002476,           0.0002476,           0.0002476
                  21,             0.80724,             0.38516,              1.1147,             0.98665,             0.98632,             0.99323,             0.88369,                   0,                   0,                   0,            0.000208,            0.000208,            0.000208
                  22,              0.7978,             0.37668,              1.1084,             0.98873,             0.98698,             0.99323,             0.88208,                   0,                   0,                   0,           0.0001684,           0.0001684,           0.0001684
                  23,             0.80262,             0.37801,              1.1131,             0.98839,             0.98936,              0.9934,             0.88804,                   0,                   0,                   0,           0.0001288,           0.0001288,           0.0001288
                  24,             0.78916,             0.37165,              1.1164,             0.98769,             0.98967,             0.99322,             0.87938,                   0,                   0,                   0,            8.92e-05,            8.92e-05,            8.92e-05
