                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6695,                0.72202,                 1.5673,                0.92074,                0.85228,                0.89889,                 0.4675,                 1.5536,                0.56711,                 1.4602,                0.06714,             0.00033192,             0.00033192
                      2,                  1.574,                0.63003,                  1.366,                 0.9388,                0.86874,                0.91628,                0.50849,                 1.4778,                0.54797,                 1.4141,               0.034107,             0.00063232,             0.00063232
                      3,                 1.5165,                0.61111,                 1.3372,                0.92971,                0.87914,                0.92561,                0.52289,                 1.4504,                0.53985,                 1.3704,               0.001041,             0.00089973,             0.00089973
                      4,                 1.4688,                0.59607,                 1.3073,                0.93893,                0.88699,                0.92981,                 0.5256,                 1.4501,                0.54669,                 1.4111,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.4399,                0.58232,                 1.3032,                 0.9484,                0.88951,                0.93562,                0.54202,                 1.4161,                0.53013,                 1.3716,               0.000802,               0.000802,               0.000802
                      6,                   1.39,                0.56763,                 1.2667,                0.93667,                0.90024,                 0.9352,                0.55033,                 1.3899,                0.52276,                 1.3488,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.3664,                0.55983,                 1.2574,                0.95213,                0.89341,                 0.9396,                0.55643,                 1.3776,                0.51579,                 1.3495,               0.000703,               0.000703,               0.000703
                      8,                 1.3609,                0.55968,                 1.2558,                0.95157,                0.90037,                0.94411,                0.56099,                 1.3652,                0.50867,                 1.3369,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.3191,                0.54167,                 1.2254,                0.94959,                0.90269,                0.94323,                0.56896,                 1.3495,                0.49946,                 1.2949,               0.000604,               0.000604,               0.000604
                     10,                  1.306,                0.53427,                 1.2053,                0.95044,                0.90951,                0.94594,                0.57353,                 1.3461,                 0.4863,                 1.2714,              0.0005545,              0.0005545,              0.0005545
                     11,                  1.285,                0.48537,                 1.2195,                 0.9463,                0.90503,                0.94267,                0.57038,                 1.3392,                0.48439,                 1.3007,               0.000505,               0.000505,               0.000505
                     12,                 1.2665,                0.47461,                 1.2141,                0.95481,                0.90398,                0.94571,                0.57494,                 1.3233,                0.48073,                 1.2879,              0.0004555,              0.0004555,              0.0004555
                     13,                 1.2443,                0.47256,                 1.1967,                0.95315,                0.91312,                0.94953,                0.57755,                 1.3245,                0.47942,                 1.2636,               0.000406,               0.000406,               0.000406
                     14,                 1.2153,                0.45922,                 1.1728,                0.95723,                0.91028,                0.94888,                0.58167,                 1.3078,                0.47108,                 1.2596,              0.0003565,              0.0003565,              0.0003565
                     15,                 1.2018,                0.45225,                 1.1718,                0.95441,                0.91347,                0.94932,                0.58547,                 1.2944,                0.46534,                 1.2653,               0.000307,               0.000307,               0.000307
                     16,                 1.1826,                 0.4463,                 1.1631,                0.95523,                0.91186,                0.95046,                0.58872,                 1.2897,                0.46132,                 1.2607,              0.0002575,              0.0002575,              0.0002575
                     17,                 1.1693,                0.43925,                 1.1496,                0.95406,                0.91402,                0.94976,                 0.5883,                 1.2844,                0.45766,                 1.2582,               0.000208,               0.000208,               0.000208
                     18,                  1.153,                0.42744,                 1.1506,                0.95564,                 0.9124,                0.95138,                0.58986,                 1.2816,                0.45456,                 1.2493,              0.0001585,              0.0001585,              0.0001585
                     19,                 1.1368,                0.42608,                 1.1396,                0.95751,                0.91093,                0.95083,                0.59279,                 1.2737,                0.45475,                 1.2607,               0.000109,               0.000109,               0.000109
                     20,                 1.1297,                0.42622,                 1.1482,                0.95788,                0.91041,                0.95014,                 0.5936,                 1.2702,                0.45202,                 1.2631,               5.95e-05,               5.95e-05,               5.95e-05
