                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6798,                0.79535,                 1.5234,                0.92554,                0.80798,                0.87207,                0.45548,                 1.5629,                0.67031,                 1.5786,                0.06714,             0.00033192,             0.00033192
                      2,                 1.6219,                0.73773,                 1.4613,                0.92759,                0.82939,                0.89034,                0.47073,                  1.548,                0.65499,                 1.6032,               0.034107,             0.00063232,             0.00063232
                      3,                 1.5972,                0.73213,                 1.4397,                0.92037,                0.84683,                0.90181,                0.48249,                 1.5344,                0.63427,                 1.5561,               0.001041,             0.00089973,             0.00089973
                      4,                 1.5732,                 0.7112,                 1.4286,                0.93035,                 0.8493,                0.90476,                0.48866,                 1.5206,                0.63499,                 1.5627,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.5576,                0.68951,                 1.4367,                0.94108,                0.85532,                 0.9116,                0.50043,                 1.5474,                0.61203,                 1.5667,               0.000802,               0.000802,               0.000802
                      6,                 1.5185,                 0.6778,                  1.414,                0.93249,                0.86292,                0.91279,                0.49912,                  1.485,                0.61972,                  1.556,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.5091,                0.67467,                 1.4273,                0.93386,                0.87347,                0.92056,                0.50845,                 1.4773,                0.59426,                 1.5652,               0.000703,               0.000703,               0.000703
                      8,                 1.5079,                 0.6677,                 1.4172,                0.94124,                0.86597,                 0.9217,                0.52247,                 1.4517,                0.57752,                  1.529,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.4713,                0.65306,                 1.4048,                0.94326,                0.87304,                0.92406,                0.51993,                 1.4468,                0.58243,                 1.5299,               0.000604,               0.000604,               0.000604
                     10,                 1.4523,                0.64048,                 1.3783,                0.93901,                0.87785,                 0.9253,                0.53095,                 1.4428,                0.57127,                 1.5139,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.4587,                0.59322,                 1.4395,                0.93322,                0.87888,                0.92508,                0.52964,                 1.4353,                 0.5731,                 1.5025,               0.000505,               0.000505,               0.000505
                     12,                 1.4426,                0.57697,                 1.4265,                0.94474,                0.87128,                0.92471,                0.52801,                 1.4341,                0.56855,                 1.5173,              0.0004555,              0.0004555,              0.0004555
                     13,                 1.4388,                0.58052,                 1.4223,                0.94429,                0.88943,                0.93215,                0.53872,                 1.4257,                0.55198,                 1.4946,               0.000406,               0.000406,               0.000406
                     14,                 1.3916,                0.55232,                 1.3737,                0.94598,                 0.8903,                0.93329,                 0.5403,                 1.4256,                0.54018,                 1.5014,              0.0003565,              0.0003565,              0.0003565
                     15,                 1.3907,                0.54992,                 1.3789,                0.94619,                0.88506,                0.93298,                0.54239,                 1.4054,                 0.5367,                 1.5017,               0.000307,               0.000307,               0.000307
                     16,                 1.3762,                0.53676,                 1.3686,                0.94448,                 0.8884,                0.93371,                0.54679,                 1.3906,                0.52849,                  1.477,              0.0002575,              0.0002575,              0.0002575
                     17,                  1.362,                0.53182,                 1.3562,                0.95473,                0.89625,                0.93887,                0.56006,                 1.3647,                0.51279,                 1.4524,               0.000208,               0.000208,               0.000208
                     18,                 1.3424,                0.51462,                 1.3475,                0.95246,                0.89235,                0.93902,                0.56214,                 1.3561,                0.51362,                 1.4554,              0.0001585,              0.0001585,              0.0001585
                     19,                 1.3186,                0.51141,                  1.341,                0.95049,                0.89949,                0.94065,                0.56395,                 1.3482,                0.50457,                 1.4394,               0.000109,               0.000109,               0.000109
                     20,                 1.3146,                0.50961,                 1.3389,                0.95071,                0.90076,                0.94289,                0.56763,                 1.3425,                0.49985,                 1.4434,               5.95e-05,               5.95e-05,               5.95e-05
