               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.1154,             0.91897,              1.9193,             0.92497,             0.86588,             0.90704,             0.46996,                   0,                   0,                   0,             0.06714,          0.00033192,          0.00033192
                   1,              1.9873,             0.81059,              1.6906,              0.9283,             0.88531,             0.92266,             0.50941,                   0,                   0,                   0,            0.034107,          0.00063232,          0.00063232
                   2,              1.9278,             0.80259,              1.6351,             0.93612,             0.88461,             0.92804,             0.51347,                   0,                   0,                   0,            0.001041,          0.00089973,          0.00089973
                   3,              1.9226,             0.79685,              1.6398,             0.93556,              0.8969,             0.93146,             0.53188,                   0,                   0,                   0,           0.0008515,           0.0008515,           0.0008515
                   4,              1.8849,             0.79141,              1.6142,             0.94339,             0.89767,             0.93809,             0.53934,                   0,                   0,                   0,           0.0008515,           0.0008515,           0.0008515
                   5,              1.8652,             0.77447,              1.6081,             0.94684,              0.9009,             0.93887,             0.54485,                   0,                   0,                   0,            0.000802,            0.000802,            0.000802
                   6,              1.8446,              0.7788,              1.5863,             0.95203,             0.90429,              0.9432,             0.55088,                   0,                   0,                   0,           0.0007525,           0.0007525,           0.0007525
                   7,              1.8083,             0.75621,              1.5691,             0.94818,             0.90445,             0.94365,             0.55744,                   0,                   0,                   0,            0.000703,            0.000703,            0.000703
                   8,              1.8027,             0.74861,              1.5701,             0.94893,             0.91299,              0.9454,             0.55976,                   0,                   0,                   0,           0.0006535,           0.0006535,           0.0006535
                   9,              1.7635,             0.73486,              1.5669,             0.94447,             0.90192,             0.93836,             0.55023,                   0,                   0,                   0,            0.000604,            0.000604,            0.000604
                  10,              1.7658,             0.72282,              1.5655,             0.94761,             0.91269,              0.9459,             0.56518,                   0,                   0,                   0,           0.0005545,           0.0005545,           0.0005545
                  11,              1.7382,             0.70638,              1.5541,             0.95617,             0.91131,             0.94824,             0.57403,                   0,                   0,                   0,            0.000505,            0.000505,            0.000505
                  12,              1.7073,             0.70171,              1.5511,             0.95175,             0.91901,             0.94902,             0.57501,                   0,                   0,                   0,           0.0004555,           0.0004555,           0.0004555
                  13,              1.6995,             0.69647,              1.5172,             0.95581,             0.91427,             0.94988,             0.57768,                   0,                   0,                   0,            0.000406,            0.000406,            0.000406
                  14,              1.7193,             0.69864,              1.5217,             0.95504,             0.91247,             0.94876,             0.57946,                   0,                   0,                   0,           0.0003565,           0.0003565,           0.0003565
                  15,              1.6752,             0.69604,              1.5132,             0.95356,              0.9126,             0.95142,             0.58312,                   0,                   0,                   0,            0.000307,            0.000307,            0.000307
                  16,              1.6627,             0.68164,              1.5135,             0.95447,             0.91744,             0.95075,             0.58404,                   0,                   0,                   0,           0.0002575,           0.0002575,           0.0002575
                  17,              1.6501,             0.67019,              1.4993,              0.9534,              0.9165,             0.95096,             0.58837,                   0,                   0,                   0,            0.000208,            0.000208,            0.000208
                  18,              1.6546,             0.66813,              1.4935,             0.95457,             0.91981,             0.95228,             0.59335,                   0,                   0,                   0,           0.0001585,           0.0001585,           0.0001585
                  19,              1.6597,             0.66757,              1.4901,             0.95628,             0.92356,             0.95314,             0.59391,                   0,                   0,                   0,            0.000109,            0.000109,            0.000109
