               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.3447,              1.3334,              1.9838,             0.61845,             0.34548,             0.34286,             0.14482,                   0,                   0,                   0,            0.070127,           0.0033192,           0.0033192
                   1,              2.4817,              1.5591,              2.0491,             0.80083,             0.59776,             0.63795,             0.25965,                   0,                   0,                   0,            0.039798,           0.0063232,           0.0063232
                   2,              2.4461,              1.5026,              2.0214,             0.74159,             0.72223,             0.70563,              0.3305,                   0,                   0,                   0,           0.0091385,           0.0089973,           0.0089973
                   3,              2.3745,              1.3899,               1.971,             0.86885,             0.71412,             0.75011,             0.34569,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                   4,              2.3269,                1.35,              1.9542,             0.88675,             0.73098,             0.80584,             0.37683,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                   5,              2.2852,              1.2591,              1.9436,             0.89005,               0.749,             0.81231,             0.38134,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   6,              2.2497,              1.2225,              1.9117,             0.90123,             0.77732,             0.84516,              0.4198,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                   7,              2.2365,              1.2047,              1.9019,             0.91233,             0.78157,             0.84975,             0.43066,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   8,              2.2247,               1.184,                 1.9,             0.91018,             0.75016,             0.83804,              0.4267,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                   9,              2.1767,              1.1218,              1.8591,             0.92168,             0.80229,             0.86666,             0.44889,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  10,              2.1393,               1.078,              1.8494,             0.91295,             0.82018,             0.88091,             0.45775,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  11,              2.1384,              1.0765,              1.8373,             0.92429,             0.82945,             0.88808,             0.46745,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  12,               2.076,              1.0285,              1.8111,             0.91801,             0.83158,             0.88854,             0.46224,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  13,              2.0551,              1.0061,              1.7904,             0.92205,             0.85005,             0.90664,             0.48483,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  14,              2.0865,              1.0018,              1.8091,             0.93373,             0.84869,             0.91037,             0.49453,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  15,               2.027,             0.97307,               1.778,             0.93511,             0.84958,             0.91041,             0.49912,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  16,              2.0107,             0.96753,              1.7777,              0.9382,             0.84696,             0.91131,             0.49861,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  17,              1.9802,             0.92096,              1.7655,             0.93027,             0.87038,             0.91874,             0.50442,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  18,              1.9727,             0.92138,              1.7354,             0.94151,             0.86811,             0.92199,             0.51352,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  19,              1.9645,             0.89892,              1.7326,              0.9443,             0.87508,             0.92494,             0.52417,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
