Image,Point,Latitude,Longitude,Object Type,Coordinates,Confidence Score,Bounding Box Center,Normalized Bounding Box Center
/gdrive/MyDrive/IST.tif,0,41.265900669,28.74117783,plane,"[3332.661865234375, 1784.000244140625, 3614.8955078125, 2044.1253662109375]",0.9398695230484008,"[3473.7786865234375, 1914.0628051757812]","[0.44393337846944886, 0.2937932164506188]"
/gdrive/MyDrive/IST.tif,1,41.265945493,28.743654354,plane,"[4223.75927734375, 1763.153076171875, 4502.30126953125, 2022.1441650390625]",0.9364980459213256,"[4363.0302734375, 1892.6486206054688]","[0.5575757537939298, 0.29050631168157615]"
/gdrive/MyDrive/IST.tif,2,41.268482852,28.741131024,plane,"[3309.950927734375, 545.1976928710938, 3603.992431640625, 815.6617431640625]",0.936304211616516,"[3456.9716796875, 680.4297180175781]","[0.44178551817092654, 0.10444047859057223]"
/gdrive/MyDrive/IST.tif,3,41.256779093,28.735160235,plane,"[1163.690185546875, 6141.35791015625, 1462.3614501953125, 6402.3994140625]",0.9346851110458374,"[1313.0258178710938, 6271.878662109375]","[0.167798826564996, 0.9626828337850154]"
/gdrive/MyDrive/IST.tif,4,41.266900442,28.734425189,plane,"[886.2813110351562, 1298.1298828125, 1211.900390625, 1574.716552734375]",0.934531271457672,"[1049.0908508300781, 1436.4232177734375]","[0.1340691183169429, 0.22047938876031273]"
/gdrive/MyDrive/IST.tif,5,41.269573471,28.746622004,plane,"[5280.15087890625, 21.815629959106445, 5577.11279296875, 296.96160888671875]",0.9343681931495668,"[5428.6318359375, 159.3886194229126]","[0.69375486721246, 0.024464868675811605]"
/gdrive/MyDrive/IST.tif,6,41.267238159,28.752565259,plane,"[7416.34619140625, 1108.281982421875, 7709.03564453125, 1441.877685546875]",0.93430095911026,"[7562.69091796875, 1275.079833984375]","[0.9664780725838659, 0.19571447950642748]"
/gdrive/MyDrive/IST.tif,7,41.266547719,28.741181435,plane,"[3316.23388671875, 1478.11865234375, 3633.912109375, 1731.753173828125]",0.9336957335472108,"[3475.072998046875, 1604.9359130859375]","[0.44409878569289135, 0.2463447295603895]"
/gdrive/MyDrive/IST.tif,8,41.267746374,28.736138649,plane,"[1530.9295654296875, 890.5973510742188, 1797.76513671875, 1173.9644775390625]",0.9312334656715392,"[1664.3473510742188, 1032.2809143066406]","[0.21269614710213658, 0.15844680188897017]"
/gdrive/MyDrive/IST.tif,9,41.267789534,28.737624529,plane,"[2056.259033203125, 879.7791137695312, 2339.51318359375, 1143.5430908203125]",0.9296598434448242,"[2197.8861083984375, 1011.6611022949219]","[0.28088001385283545, 0.15528182690635792]"
/gdrive/MyDrive/IST.tif,10,41.267735876,28.73527037,plane,"[1209.96875, 875.3203735351562, 1495.1756591796875, 1199.2718505859375]",0.9292863011360168,"[1352.5722045898438, 1037.2961120605469]","[0.17285267790285544, 0.1592165943300916]"
/gdrive/MyDrive/IST.tif,11,41.266306174,28.73873446,plane,"[2462.6787109375, 1578.082763671875, 2730.1845703125, 1862.5849609375]",0.9291587471961976,"[2596.431640625, 1720.3338623046875]","[0.33181235023961664, 0.26405738485106484]"
/gdrive/MyDrive/IST.tif,12,41.265248011,28.741198447,plane,"[3323.9423828125, 2092.90283203125, 3638.421142578125, 2358.835693359375]",0.9262073636054992,"[3481.1817626953125, 2225.8692626953125]","[0.44487945849141375, 0.34165299504149077]"
/gdrive/MyDrive/IST.tif,13,41.266564506,28.750328631,plane,"[6621.1494140625, 1473.1602783203125, 6898.00927734375, 1720.67236328125]",0.9240310788154602,"[6759.579345703125, 1596.9163208007812]","[0.8638440058406549, 0.24511378676911455]"
/gdrive/MyDrive/IST.tif,14,41.264605776,28.741189282,plane,"[3325.687744140625, 2393.672119140625, 3630.09375, 2671.718994140625]",0.92336767911911,"[3477.8907470703125, 2532.695556640625]","[0.44445888141473644, 0.3887483586555065]"
/gdrive/MyDrive/IST.tif,15,41.267887993,28.748177012,plane,"[5853.9794921875, 825.93017578125, 6120.0048828125, 1103.3155517578125]",0.9232401251792908,"[5986.9921875, 964.6228637695312]","[0.7651108226837061, 0.1480618363422151]"
/gdrive/MyDrive/IST.tif,16,41.261421926,28.736228489,plane,"[1544.6826171875, 3915.989013671875, 1848.5299072265625, 4191.55859375]",0.9220136404037476,"[1696.6062622070312, 4053.7738037109375]","[0.21681869165585063, 0.6222216122349866]"
/gdrive/MyDrive/IST.tif,17,41.267867369,28.749019709,plane,"[6150.70458984375, 809.0947875976562, 6428.458984375, 1139.8564453125]",0.920931875705719,"[6289.581787109375, 974.4756164550781]","[0.8037804200778754, 0.14957415448274414]"
/gdrive/MyDrive/IST.tif,18,41.267268073,28.75035524,plane,"[6631.90869140625, 1134.421630859375, 6906.359375, 1387.1551513671875]",0.9177014231681824,"[6769.134033203125, 1260.7883911132812]","[0.8650650521665335, 0.19352085819083364]"
/gdrive/MyDrive/IST.tif,19,41.266364252,28.737685113,plane,"[2093.1328125, 1566.2576904296875, 2346.1474609375, 1818.9166259765625]",0.9165279269218444,"[2219.64013671875, 1692.587158203125]","[0.2836600813698083, 0.2597984893634881]"
/gdrive/MyDrive/IST.tif,20,41.264602387,28.735184365,plane,"[1178.3135986328125, 2401.8798828125, 1465.0667724609375, 2666.75]",0.916134238243103,"[1321.690185546875, 2534.31494140625]","[0.16890609399960063, 0.38899692116749807]"
/gdrive/MyDrive/IST.tif,21,41.26724722,28.743584635,plane,"[4204.9873046875, 1146.6148681640625, 4471.0048828125, 1394.8868408203125]",0.9155371189117432,"[4337.99609375, 1270.7508544921875]","[0.5543764976038339, 0.19505001603870875]"
/gdrive/MyDrive/IST.tif,22,41.262249608,28.736276415,plane,"[1586.80517578125, 3530.76953125, 1840.82568359375, 3785.931884765625]",0.9152211546897888,"[1713.8154296875, 3658.3507080078125]","[0.21901794628594248, 0.5615273534931409]"
/gdrive/MyDrive/IST.tif,23,41.264642383,28.743647931,plane,"[4240.2177734375, 2405.851318359375, 4481.22998046875, 2624.5625]",0.9147793650627136,"[4360.723876953125, 2515.2069091796875]","[0.557281006639377, 0.38606399219949156]"
/gdrive/MyDrive/IST.tif,24,41.267915637,28.743581818,plane,"[4213.69189453125, 842.10888671875, 4460.27685546875, 1060.722412109375]",0.9116227030754088,"[4336.984375, 951.4156494140625]","[0.5542472044728435, 0.14603463536670183]"
/gdrive/MyDrive/IST.tif,25,41.267931029,28.750173506,plane,"[6572.84423828125, 817.2969360351562, 6834.91259765625, 1070.8272705078125]",0.9114152789115906,"[6703.87841796875, 944.0621032714844]","[0.8567256764177317, 0.14490592529109506]"
/gdrive/MyDrive/IST.tif,26,41.259801123,28.735581975,plane,"[1304.249267578125, 4694.74951171875, 1624.6729736328125, 4961.46923828125]",0.9112637042999268,"[1464.4611206054688, 4828.109375]","[0.18715158090804712, 0.7410758825786646]"
/gdrive/MyDrive/IST.tif,27,41.26067091,28.735911797,plane,"[1444.0179443359375, 4286.51171875, 1721.7642822265625, 4538.62890625]",0.9076038002967834,"[1582.89111328125, 4412.5703125]","[0.20228640425319488, 0.6772939850345356]"
/gdrive/MyDrive/IST.tif,28,41.263398631,28.745675808,plane,"[5008.052734375, 3012.443115234375, 5169.70458984375, 3206.37109375]",0.901512324810028,"[5088.878662109375, 3109.4071044921875]","[0.650335931259984, 0.47726893392051994]"
/gdrive/MyDrive/IST.tif,29,41.25766345,28.734594344,plane,"[1014.9376831054688, 5770.57861328125, 1204.7222900390625, 5928.1787109375]",0.8998427987098694,"[1109.8299865722656, 5849.378662109375]","[0.14183130818814896, 0.8978324884281466]"
/gdrive/MyDrive/IST.tif,30,41.266917418,28.737851373,plane,"[2201.770751953125, 1346.9932861328125, 2356.90771484375, 1509.632568359375]",0.8959155678749084,"[2279.3392333984375, 1428.3129272460938]","[0.2912893589007588, 0.2192345245197381]"
/gdrive/MyDrive/IST.tif,31,41.269433568,28.734032328,plane,"[806.4872436523438, 140.6371307373047, 1009.5637817382812, 311.8170166015625]",0.8942707777023315,"[908.0255126953125, 226.2270736694336]","[0.11604159906649361, 0.03472403279653624]"
/gdrive/MyDrive/IST.tif,32,41.265290813,28.735166217,plane,"[1218.17724609375, 2123.971435546875, 1412.1705322265625, 2286.869384765625]",0.8938509821891785,"[1315.1738891601562, 2205.42041015625]","[0.1680733404677516, 0.338514260960284]"
